,,degree,eigenvector,pagerank
76,134,722.8562650507124,0.010344969769014278,8.521108703501694e-05
64,152,590.2241290984101,0.018210504190339417,8.472254336609908e-05
183,68,219.01463752805637,5.972376690168727e-06,8.822478531623656e-05
139,89,428.26635730175497,7.902045042194695e-05,0.00013556102803866573
76,137,892.7840169766126,0.03378827467476182,0.00010547747672154736
60,161,4074.6650125038805,0.1616634796015149,0.0005356365660147361
84,146,441.9341049524734,0.0012471381722918046,5.8947747926972895e-05
83,151,1356.773427238462,0.008025441443569587,0.00015866736432882417
82,132,3568.7449454037423,0.07030938005496863,0.00036914891042518134
85,138,416.1317341169406,0.005426689484284512,4.7903542782967734e-05
76,138,920.4852540482987,0.009242642476483286,0.00010437477027484892
78,146,850.5837580410956,0.003010540791751285,0.00010904519830964758
84,157,411.5255540549724,0.0004110642678254832,6.332472442797982e-05
87,163,359.36501460949836,0.0001453351362095178,6.484807046238038e-05
72,176,171.09053755042197,2.369643568077793e-05,4.6467996988431625e-05
58,178,424.3327799473244,0.00021765006918783879,9.509608411255576e-05
118,101,336.5776681889032,0.0002452236567978219,6.287562993526565e-05
132,111,2309.5715984369704,0.000404714584418551,0.0005051216370619912
99,133,392.2853413873718,0.006639847896983511,5.065806172650282e-05
91,138,585.0576978949956,0.005949792872108085,6.753862731400681e-05
101,110,764.250320941471,0.0067831420387676885,0.0001195156828960736
77,133,2038.4858873387752,0.03447618864073361,0.00026760700236060786
127,89,200.3211137278837,0.0007284124663380351,4.5498346422570755e-05
102,99,4583.866210743816,0.031900722516715996,0.0006447149284068379
114,142,157.07748591560943,5.0565821186889885e-05,3.792009184016966e-05
115,145,158.54195917987497,0.00015682583148316043,4.4816390347532325e-05
86,135,2283.6363562814995,0.05576188648849172,0.0002353034808300828
63,154,289.78849546812137,0.012406940666894887,4.393306156044453e-05
75,47,61.614960505062626,2.116261554039025e-07,6.341673897015056e-05
74,71,130.2592029273718,5.651091263177459e-06,6.540794996200184e-05
106,161,159.06855640567076,8.772070958154037e-05,4.273469950063677e-05
