x,y,distance
186,181,0.594415427035528
184,108,0.4374289144939064
101,73,0.35321552304949755
161,124,0.5930122806869875
12,1,0.5774083124919125
177,68,0.2306867082675242
163,170,0.8950166255648758
80,135,0.31280360869523943
179,114,0.3732186653910101
65,12,0.37263838493282075
115,129,0.32022803034160985
189,78,0.5300532127606603
100,6,0.7674438670361239
141,7,1.4888589817213964
77,22,0.4535278413435959
168,140,0.9531405886700215
42,1,0.20668951960759788
176,1,0.5905664857568567
19,17,0.9360207919491296
79,68,0.10377037748445023
95,12,0.33712089561706915
155,63,0.0323254091917618
58,130,0.5586220673421264
130,6,0.37427268966081273
171,7,0.5335158117038958
107,22,0.46138397046120416
148,23,1.3223179758037409
74,74,1.1509390276329114
109,68,1.040970066044484
183,17,0.2615875233111073
86,84,0.2579247482387236
125,12,0.7143505474483004
102,28,0.297651313534093
88,130,0.10888442152096797
162,79,0.08621252252980384
65,146,0.058494164540071156
63,73,0.8216910338703831
104,74,0.07984291133323165
178,23,0.20167456719532217
81,90,0.24432515156833595
67,192,0.7900221184776667
141,141,1.0169473626992147
116,84,0.17456832157212065
157,85,0.24144778574891101
190,33,0.4465433435360905
93,100,0.26715144573303123
132,28,0.1751741188016284
192,79,0.605894890410229
95,146,0.655502211952953
169,95,0.34590469167786403
155,197,1.5715321558830817
134,74,0.03224129401095805
72,162,0.21418278740374058
111,90,0.03790490217894517
185,39,0.33005809824478
171,141,0.5154511786770469
148,157,1.23571898812615
146,84,0.14698089136836168
187,85,0.7200836129885311
123,100,0.1376235702236254
90,152,0.8351130057498298
164,101,0.5918710941670327
139,44,0.49725829469071103
125,146,1.702405730504152
199,95,0.5043724685973696
143,163,
44,157,0.4560894427401254
118,106,0.282794066638397
153,100,0.13636083680200525
194,101,0.6899799036152671
6,50,1.003184610697943
56,167,0.49370917185576946
97,168,1.1548597677327268
105,29,0.2965920660564766
117,39,0.36200345036420123
185,173,0.7022040339172915
96,101,0.1538191307582469
127,168,
112,45,0.31739479596665343
139,178,
188,40,0.2770929385156969
64,4,1.3208769704120122
91,107,0.09648784859195372
124,55,0.16933756729740645
27,122,1.082618410631284
200,50,0.7832980667645082
103,117,0.17111454249182048
142,45,0.5302691967508246
18,9,0.271890912829487
119,61,0.507108337623508
105,163,1.3341936930669536
193,10,0.8297191223628371
94,4,0.5667484775371048
121,107,0.28271967939686504
195,56,0.3319099744739662
154,55,0.25197716733076425
98,123,0.10564760225343632
59,168,0.6276801571475428
133,117,0.3959734089036896
174,118,0.2643407731420643
36,184,1.139079411840061
110,133,0.1487945967352937
77,185,0.845973374138611
89,10,1.1782814789405986
75,112,0.23068152841774023
149,61,0.17590367140938118
126,77,0.06286621209575344
186,128,0.4423509792711796
184,55,0.2312253187034729
101,20,0.29981535602529064
54,174,0.19933158714572463
87,122,0.5943840026917494
128,123,0.3629183925749151
188,174,0.6229850520574168
177,15,0.258269951899334
163,117,0.7237513997762828
80,82,0.29251009203958706
66,184,0.44410106122779236
179,61,0.17838898846746204
43,200,0.31622776601683794
82,128,0.19313503003466193
156,77,0.11367628571833024
142,179,3.941431081912577
172,21,0.0945917204948861
158,123,0.6345916295631274
61,190,0.810771464703929
135,139,0.6060268037907731
195,190,0.7167037951029963
79,15,0.5249092117113641
170,133,0.2884528421834632
73,200,1.255860455381554
21,10,0.5425384473351992
155,10,1.3938871464892926
58,77,1.0466717491038529
74,21,0.5603012194331853
165,139,0.35286152066305726
150,16,1.2802169376179853
53,83,0.9885714042641944
88,77,0.5639763938305948
129,78,0.06582496298679888
179,195,1.659483763880362
5,42,1.4329730872110145
104,21,0.2975696206329208
7,88,3.1598083831013772
67,139,0.26270016584640254
141,88,0.09880675824724316
172,155,0.6196501260302182
83,83,0.4294126410334727
157,32,0.7599244550246812
159,78,0.1468785794855202
136,94,0.11471392528750375
39,161,0.625293330880002
111,37,0.09101722026854198
171,88,0.2701633272147188
138,140,0.6076994055343032
113,83,0.07931987359511984
187,32,0.45123956710034796
51,171,0.3932960762008916
90,99,0.257320899416281
150,150,1.8056224972940278
106,43,0.35170896589520634
